단어,빈도수
능선,3
빼곡,3
그러는,3
불과,3
받침,3
부드럽고,3
거푸,3
없으리라,3
맨몸,3
초침,3
고비,3
팽,3
쳐진,3
검었고,3
더듬어,3
그리하여,3
구리,3
빛살,3
청테이프,3
리기,3
신기하게도,3
살짝,3
들여다보고,3
뒤축,3
독한,3
악취,3
여비,3
차린,3
곳곳,3
세로,3
익,3
깍,3
들여다보며,3
비루,3
아니었다면,3
일과,3
어떤가,3
성품,3
움직일,3
신상,3
떨기,3
봤소,3
산다,3
칠한,3
던졌던,3
느꼈었다,3
하였,3
꺾어,3
건성,3
잠들었다,3
버틴,3
들어오고,3
있었소,3
깊숙한,3
사업,3
꿰,3
얻은,3
와이퍼,3
바닷가,3
구나,3
섰던,3
적용,3
노점,3
재작년,3
되리라는,3
얼룩,3
숙소,3
갖는,3
짊,3
뱉었다,3
적시고,3
상이,3
타고난,3
묻곤,3
알아채지,3
다변,3
사진가,3
없으니,3
전방,3
주시,3
가보지,3
뜨고,3
가렸다,3
종일,3
든가,3
빌려,3
선득한,3
이었어요,3
어슴푸레한,3
외로운,3
지나지,3
싸락눈,3
누군지,3
님,3
톤,3
갇힌,3
해설,3
부축,3
으리,3
나설,3
완전하게,3
내의,3
열린,3
5월,3
검었다,3
주병,3
대자,3
자체,3
잠긴,3
기뻐,3
뼘,3
빠져나가는,3
닦고,3
발바닥,3
박힌,3
빗,3
어두워졌다,3
분량,3
이러,3
센티,3
어린아이,3
뚜껑,3
이었어,3
호에,3
규모,3
매표소,3
조차도,3
시지,3
맹목,3
달려가,3
사적,3
묵묵히,3
양철,3
치의,3
숫,3
거듭,3
관광,3
하였던,3
흘러나오고,3
받기,3
나오도록,3
설계,3
세대,3
랗,3
만나지,3
않으려고,3
돌린,3
불덩이,3
환희,3
딛고,3
않았어요,3
받았던,3
갔소,3
팔백,3
지게,3
비행기,3
해쓱,3
판매,3
매혹,3
얻기,3
그해,3
않겠어요,3
덴,3
추가,3
깨어난,3
알아낼,3
올려다보는,3
콧물,3
신혼부부,3
고이,3
아유,3
왔듯이,3
문질러,3
비유,3
키우는,3
잊었던,3
박한,3
구십,3
희끗,3
무성,3
트렌치코트,3
그러기,3
결심,3
수색,3
또는,3
가련한,3
켰다,3
없었고,3
않니,3
올려놓고,3
기적,3
울었다,3
만났던,3
구청,3
여드름,3
움켜쥐었다,3
해달라고,3
거세,3
맺힌,3
부질없다는,3
하듯,3
시켜놓고,3
싶으면,3
열한,3
박혀,3
여장,3
정부,3
말았다,3
실로,3
죽어서,3
입김,3
지내,3
오가며,3
개입,3
두려워,3
곡산,3
모른,3
었던,3
병실,3
끌어안고,3
오라,3
찾아가고,3
지내요,3
적당한,3
귓바퀴,3
속눈썹,3
어학,3
새치,3
짜증,3
내다보고,3
들여다보는,3
여길,3
태,3
돌발,3
굴곡,3
머뭇머뭇,3
등본,3
멀어졌다,3
고를,3
환자,3
휠체어,3
호차,3
에서보다,3
뾰죽,3
뽑아,3
버텨,3
밖에도,3
생겼을,3
윗목,3
어쩌자,3
끄고,3
단단하고,3
닥,3
번만,3
가르쳐,3
없지만,3
여름밤,3
사라지고,3
추궁,3
수천,3
겠죠,3
심경,3
자르게,3
보아서는,3
범,3
늑대,3
해다오,3
간호,3
있잖아요,3
가로막았다,3
광대뼈,3
있는지도,3
가죠,3
하곤,3
굶주린,3
만치,3
스쳤다,3
병동,3
이든,3
안타까,3
그러니,3
지근,3
했잖아요,3
에까지,3
핑계,3
찾고,3
보이기,3
나고,3
죽어,3
플라스틱,3
날렸다,3
올라오는,3
요란,3
배열,3
부서,3
복사뼈,3
모르겠소,3
있었으면,3
쏟아지는,3
답지,3
뜯었다,3
만큼의,3
발길,3
영원,3
여수,3
들러,3
나타나기,3
계시는,3
앞머리,3
색색,3
끼리,3
번화가,3
대책,3
삼발이,3
시켰다,3
건넸다,3
민박,3
가려면,3
멀쩡한,3
치밀,3
어려울,3
짚으며,3
용소,3
여간,3
숙식,3
끌며,3
발톱,3
앓고,3
같지는,3
싫었다,3
보세요,3
들어왔,3
킬킬,3
새우,3
그렇,3
해지,3
인사말,3
나직이,3
흐느껴,3
덮었다,3
까요,3
마세요,3
어렵사리,3
추락,3
탈선,3
가로,3
튕,3
있으며,3
느끼게,3
프린트,3
기다린,3
닦아,3
있을지,3
많아요,3
한기,3
빠지고,3
뿜으,3
꿰어,3
뱉고,3
살피는,3
눌러,3
환,3
생생하게,3
타는,3
찾아내지,3
시키는,3
량,3
연결하는,3
가을,3
오던,3
행인,3
돌아오자,3
취직,3
해보고,3
모종,3
웅크린,3
손발,3
물으면,3
체념,3
막힌,3
않았으며,3
인형,3
합시다,3
끝나기,3
생활비,3
게다가,3
씻고,3
별거,3
정말로,3
별일,3
점심시간,3
미심,3
머금었다,3
제지,3
방습,3
겨져,3
내리실,3
아픔,3
밴드,3
편의,3
마감,3
손질,3
자꾸,3
한결,3
죄송합니다,3
많고,3
이부자리,3
있는데요,3
청주,3
맞아요,3
진창,3
고꾸라졌다,3
던진,3
잊지,3
쏘는,3
들려주는,3
친분,3
시종,3
내렸던,3
다물,3
정의,3
걸어가던,3
나와요,3
황사,3
딴,3
예비군,3
젖,3
고맙다는,3
않습니다,3
채식주의자,3
다녀,3
하지요,3
짬,3
터졌다,3
참담하게,3
통제,3
메모,3
하도록,3
하고도,3
바꾸는,3
닦았다,3
있다고도,3
무방비,3
할퀴었다,3
중얼,3
흐릿,3
성적,3
나누는,3
무겁게,3
이래,3
흘려,3
하겠지만,3
쏘아,3
사회,3
주저앉았다,3
이신,3
질식,3
배웅,3
펼치고,3
파묻혀,3
산소,3
봉제,3
넘겼다,3
위험,3
없었다면,3
약해,3
커피,3
보았을까,3
영락,3
이듬해,3
발표,3
온다,3
내던져진,3
광주,3
때때로,3
많았다,3
몇십,3
말수,3
무너진,3
완성,3
차올라,3
차올랐다,3
으므로,3
움켜쥔,3
중얼거렸었다,3
다가왔다,3
활자,3
합격자,3
명단,3
막고,3
뚫은,3
증명,3
그대,3
물체,3
성큼성큼,3
저리,3
반가운,3
없으면,3
빠졌다,3
단단히,3
올라,3
바꿔,3
신랄한,3
둠의,3
우연이,3
관방,3
밤길,3
덮으며,3
되었,3
발휘,3
좋게,3
이따,3
반박,3
말랑말랑한,3
드러내는,3
이사,3
없을까요,3
저절로,3
놓쳐,3
맥,3
모르겠지만,3
난감한,3
쓰게,3
삼각대,3
아파트,3
댁,3
조화,3
료,3
떠나던,3
돌아서던,3
에서만,3
극복,2
깨닫는다,2
압도,2
정서,2
""",",2
맞지요,2
기구,2
서비스,2
않았다고,2
살았었대,2
전율,2
물질,2
독,2
밤차,2
마음속,2
눕는,2
맞아,2
큰소리,2
카르,2
피아노,2
콩나물,2
평범했다,2
사정,2
나타나는,2
해장국,2
나오며,2
들리,2
눅눅한,2
에게나,2
걸어갈,2
추호,2
내다보았다,2
따라가,2
보였고,2
지퍼,2
왔으면,2
갸름한,2
괴롭혀,2
날카롭게,2
그랬다면,2
생애,2
보인,2
편이었,2
경비원,2
밝히며,2
빠져나갔다,2
꾸며,2
틀린,2
모르,2
참이었,2
중병,2
머니는,2
사라지곤,2
묶여,2
하네,2
했잖아,2
설치,2
결핍,2
물리,2
응축,2
풀려,2
친한,2
의견,2
성공,2
무너졌으면서도,2
약도,2
링거액,2
구역질,2
잦아질,2
에나,2
걸어왔다,2
타이,2
부릅뜨고,2
가려는,2
육십사,2
깨닫지,2
커서,2
아니었,2
시도,2
올릴,2
둔덕,2
탄성,2
일이오,2
아껴야,2
송곳,2
분열,2
시키지,2
않기를,2
초여름,2
둑,2
당해,2
무도,2
새긴,2
단말,2
찢었다,2
빠져나,2
트기,2
따름이었다,2
지하철역,2
원칙,2
였던가,2
가져간,2
헐한,2
적시며,2
철수,2
도리,2
머무르고,2
쌓이는,2
섬뜩하리,2
버튼,2
본의,2
올리는,2
무거워,2
네거리,2
접대,2
잔무,2
퇴근,2
나하,2
쓴다는,2
부러,2
다오,2
요하,2
연출,2
자격,2
갸웃하며,2
배터리,2
수명,2
새삼,2
걸쳐,2
빽빽한,2
비였다,2
풋,2
두고두고,2
있으니,2
조의,2
걸리는,2
육체노동,2
죽었,2
끝났다는,2
내밀었을,2
감았으며,2
구한,2
잡기,2
다듬어진,2
나오,2
극심한,2
낱낱이,2
있음에도,2
먹고살려고,2
어쩌,2
깐,2
인부,2
담벼락,2
즈,2
되리라,2
일상,2
충고,2
마득,2
끊어진,2
앉는,2
해가다가,2
출생,2
연고,2
단말기,2
정영주,2
헤어진,2
찾으려,2
본인,2
자그마한,2
멀어,2
사향노루,2
남김없이,2
잡아당겼다,2
혔다,2
꺾고,2
덧붙여,2
어붙,2
분말,2
고온,2
닦은,2
탄가,2
간단히,2
열었을,2
깔려,2
어감,2
전신주,2
주차,2
겠어요,2
가리고,2
또래,2
편이었던,2
올라갈,2
이르렀,2
내릴지,2
메라,2
엄두,2
찢는,2
정은,2
흐트러짐,2
해올,2
괜찮다,2
강해졌다고,2
가로막는,2
망설이는,2
잠들었던,2
연명,2
어떡해,2
애기,2
조산,2
거두었다고,2
시신,2
만삭,2
없었소,2
도심,2
수줍음,2
물들어,2
곱,2
딸아이,2
멀쩡할,2
감자,2
캐서,2
컹,2
가까워지는,2
믿었던,2
익숙해지는,2
잊었다,2
수심,2
살로,2
이군,2
눌려,2
노트,2
행복한,2
아시,2
하지는,2
으로부터도,2
특급,2
나오던,2
달포,2
넘도록,2
웬,2
고충,2
털어놓는,2
춥다,2
인쇄소,2
대롱,2
좁아졌다,2
고맙습니다,2
떠났다고,2
호들갑,2
자잘한,2
받아들일,2
입었던,2
블,2
핏줄,2
잠들고,2
비볐다,2
붉고,2
위축,2
두기,2
소용,2
들어왔던,2
이었지,2
렇,2
생각났다는,2
둠과,2
십년,2
시트,2
단순히,2
마실,2
사과,2
상사,2
·····,2
그러면서,2
단정한,2
사회면,2
가다듬어,2
금붙이,2
구조대,2
튜,2
육신,2
미쳐,2
쇠붙이,2
있는가를,2
드러운,2
보살피고,2
먹자고,2
하시오,2
털었다,2
장석,2
되었지만,2
든다고,2
찍어요,2
돌려주었다,2
윗입술,2
붓,2
부피,2
쭈그러들어,2
*,2
죽죽,2
달아나는,2
배겨낼,2
어리가,2
구호,2
보였으므로,2
좋아졌다,2
벗어나,2
구해,2
찌푸리고,2
구겨져,2
호적등본,2
들었,2
꿔요,2
광고지,2
으으,2
분절,2
만져,2
매만졌다,2
돼서,2
에서나,2
계약,2
이었기,2
적혀,2
기재,2
볼펜,2
등초,2
어렴풋하게,2
심드렁한,2
둣,2
입었다,2
깨물고,2
냉정하게,2
하이힐,2
자가,2
앞문,2
문의,2
훔친,2
지운,2
착오,2
달려온,2
저항,2
찌푸렸다,2
요리,2
나오자,2
맡아,2
올이,2
냈다는,2
큼직하게,2
높고,2
키로,2
뭉툭,2
잘라진,2
흑,2
꾸었던,2
흉몽,2
플,2
무섭지,2
쇼핑,2
완만,2
치고는,2
불편한,2
태워,2
그친,2
두지,2
해왔던,2
바라볼,2
찾다가,2
놀라고,2
해주,2
해주마,2
채굴,2
밝혀,2
흉측한,2
바윗돌,2
어렸던,2
족,2
똑같이,2
넣어져,2
작성,2
전산,2
있었던가,2
깨닫는,2
그따위,2
빠져나갈,2
주거,2
조용해서,2
다를,2
호주,2
사본,2
받기에는,2
사라지는,2
네시,2
일어나서,2
와도,2
불과했다,2
드리겠습니다,2
띄운,2
숙이거나,2
피우다,2
가라앉았다,2
젤,2
식탁,2
맞춰,2
반찬,2
되지만,2
솟은,2
업소,2
나오면,2
숱,2
파마,2
보인다구,2
타박,2
뻗고,2
끌어당겼다,2
살해,2
마시는,2
나은,2
쉬는,2
외돌토리,2
마리나,2
메시지,2
버렸다는,2
용성,2
갔다는,2
글자,2
모자라는,2
꿈꾸는,2
스쳐가고,2
문화원,2
편한,2
어림,2
창백했다,2
않았다는,2
찾았,2
진한,2
죽던,2
환자복,2
반지,2
날아와,2
엎드렸다,2
캄,2
덤,2
몰랐던,2
학기,2
배웠었다,2
버렸었다,2
초본,2
본적지,2
알아보려고,2
몹,2
아랑곳,2
유치한,2
슬픈,2
넓적한,2
발인,2
목젖,2
죽으면,2
살아서는,2
묻히는,2
남긴,2
머플러,2
떠돌고,2
6,2
다급히,2
핏방울,2
락,2
금요일,2
뿌리쳤,2
쭈그려,2
질경이,2
변하지,2
피곤,2
변죽,2
메,2
싣지,2
하셨나요,2
몰랐다는,2
다물었다,2
명함,2
합니다,2
무뚝뚝한,2
털어놓고,2
가곤,2
해주었,2
솔직하게,2
입었을,2
일러,2
관념,2
돌아가지,2
보시,2
뭣,2
시리,2
갑갑한,2
육박,2
맴,2
헛것,2
벌컥벌컥,2
돋,2
떨어지지,2
진흙,2
손짓,2
흡,2
기획,2
거꾸로,2
변한,2
끝낸,2
유명인,2
바뀌어가는,2
월요일,2
일어서는,2
헤매며,2
했느냐고,2
해경,2
감쪽,2
근교,2
다락,2
수동,2
체험,2
뿐일,2
봉분,2
들었는지,2
말아요,2
몇몇,2
다가가고,2
송글송글,2
소도시,2
없었다고,2
앉게,2
살았다는,2
똥,2
갈구하는,2
빤히,2
상치,2
참고,2
마셨다,2
확실,2
주위,2
만지작거리는,2
외풍,2
바다로,2
날아가는,2
부도,2
바라,2
빠져들었다,2
쾌감,2
원하는,2
찾아다녔다는,2
철골,2
작업중,2
들이켜,2
때부,2
교통,2
높아진,2
펼쳐져,2
내려앉고,2
년도,2
용수철,2
부모,2
똑같아,2
알려지지,2
주제,2
프레임,2
프로,2
그럴듯한,2
줄일,2
자유롭게,2
갈며,2
웠다,2
안타까운,2
밥술,2
모라,2
앞장서서,2
반겼다,2
모래밭,2
충분할,2
전화했을,2
접시,2
안절부절,2
뜨지도,2
득,2
괴로,2
단둘,2
교통사고,2
감당,2
머릿수건,2
이따가,2
단란,2
연애,2
섬뜩하리만치,2
돌아간다는,2
아슬아슬하게,2
판돈,2
달려오고,2
밥알,2
숟갈,2
가까워지고,2
낡을,2
다가가는,2
뒤척,2
원기,2
되어오는,2
절벽,2
노름,2
연속,2
얻고,2
행복,2
속속,2
모르지만,2
설경,2
초점,2
사양,2
저물어가는,2
구질구질한,2
지질,2
가져가려고,2
이끌,2
나아가지,2
외침,2
멍한,2
낮추어,2
좋은데,2
들여다보,2
건설,2
공원,2
부지,2
정보,2
정처,2
나아,2
더딘,2
부딪히며,2
자란,2
고향이,2
고요하고,2
제외,2
가리기,2
지웠다,2
내렸을,2
줄거리,2
섬뜩한,2
퍼져,2
즐겼다,2
가지러,2
경찰,2
마르,2
필,2
태양,2
없었을,2
얇아,2
휴,2
넣으면,2
강변,2
이르러,2
가보고,2
치켜든,2
다고도,2
풍겨,2
처진,2
없구나,2
자랐기,2
빠져나오려,2
해주었었다,2
방음,2
경어,2
마르지,2
마시며,2
돌아오기를,2
꽃들이,2
분투,2
견뎌야,2
돌아보는,2
먹다가,2
되었으니,2
컸다,2
스피커,2
사이드,2
미러,2
낫,2
불안한,2
긴말을,2
나왔다가,2
삼켜지고,2
늘어져,2
다르겠지만,2
초대,2
구경,2
던지는,2
오누이,2
돌아오면서,2
까다로운,2
외한,2
으쓱,2
허둥지둥,2
굵고,2
쉬어,2
사왔다,2
하느라,2
유복하게,2
꼼꼼히,2
21,2
언덕길,2
흘깃,2
많다는,2
찢,2
그렇지만,2
기억나지,2
안산,2
들도,2
거칠어,2
있었으,2
들어섰을,2
삼천이백,2
싶더니,2
따뜻하게,2
불의,2
어색한,2
지우며,2
올게,2
파,2
침착한,2
감추고,2
솜털,2
박자,2
그렇게도,2
했음에도,2
쓰느냐,2
티맥스,2
번갈아,2
아스라이,2
흔들렸다,2
견디기,2
무궁화호,2
찾게,2
애초,2
이라니,2
웃기는,2
살림집,2
황토,2
닐,2
기고,2
택촌,2
벽화,2
민,2
개조,2
다니지,2
앞집,2
어두워져,2
도배,2
허리춤,2
목사,2
끝났다,2
풍부한,2
자른,2
담은,2
비상,2
넣어가지고,2
지뢰,2
냥,2
장독대,2
부르,2
긴장감,2
무려,2
아끼는,2
하기에,2
지킬,2
보호,2
부리는,2
후려쳤다,2
외치는,2
고꾸라질,2
풀리며,2
해보세요,2
당혹,2
떨림이,2
느껴졌으므로,2
이성계,2
장종욱,2
입사,2
드리워져,2
구도,2
부조화,2
펄럭거리고,2
신문지,2
닿았다,2
기댄,2
보퉁이,2
껌,2
사라질,2
미는,2
대면,2
팔면,2
롯,2
강요,2
않았는데도,2
슬며시,2
장치,2
각자,2
내밀,2
되겠소,2
집단,2
농장,2
되거든요,2
치열,2
낳고,2
누웠다,2
남겨주지,2
뼈대,2
장실,2
말라,2
잇몸,2
묻혀가지고,2
흔들리고,2
않아서,2
책망,2
바꾸었다,2
승,2
걸어갔,2
과속,2
올라가야,2
날쌔,2
원형,2
화학,2
약품,2
위험해,2
있거든요,2
삼키고,2
졸린,2
하다가도,2
깜빡,2
갓길,2
서성거리고,2
재래식,2
방과,2
채운,2
할게요,2
걸어왔,2
안정,2
두상,2
가마,2
애처,2
로움,2
끊길,2
맺혀,2
이부,2
붙여놓은,2
참혹한,2
짖지,2
무모하게,2
김밥,2
판매원,2
유아,2
맛있는,2
난방,2
군내버스,2
숨기는,2
들린,2
철봉,2
계심,2
있는가,2
불현듯,2
보았었다,2
거쳐,2
남고,2
가가,2
콜,2
부끄럽게,2
콧잔등,2
좋아서,2
표현,2
샀던,2
튀튀,2
출근길,2
후미진,2
골목길,2
우스꽝스러운,2
덩치,2
히죽,2
슈퍼마켓,2
부르자,2
댔었다,2
맑았다,2
화염,2
도와주었다,2
딸린,2
뜯고,2
생선,2
구의,2
의외,2
뚫어진,2
어둑어둑했다,2
달아놓은,2
괜찮지,2
들여다보곤,2
빗발,2
소용돌이,2
먹다,2
획,2
근데,2
우물쭈물,2
같니,2
효력,2
사니,2
떠오르지,2
묻혀놓은,2
됩니다,2
보았어요,2
지반,2
정식,2
미안하다고,2
미안한,2
뿌리쳤다,2
기어다니면서,2
넘쳐,2
태우고,2
뒤범벅,2
잘한,2
말았을,2
짠,2
어두컴컴한,2
반대쪽,2
해냈다,2
돌았다,2
참혹하게,2
어질러진,2
하자면,2
나절,2
포장,2
집요했다,2
스펀지,2
잤던,2
광경,2
완벽하게,2
깔고,2
벗기는,2
양갱,2
교감,2
하였을,2
줄어,2
체액,2
문지르고,2
이러고,2
울대,2
가보지도,2
바꾸어가며,2
짓누르고,2
심한,2
끊고,2
참여,2
한영사전,2
펴놓고,2
나왔,2
각지,2
한약,2
다투어,2
지겨워,2
없어져,2
닦으려고도,2
나타났을,2
참으며,2
튀었다,2
잡니다,2
했겠지만,2
단발머리,2
서라도,2
리도,2
발의,2
처마,2
되는대로,2
타일,2
했니,2
헤매어다니며,2
했어야만,2
만나면,2
끌어안았다,2
그래서요,2
레비,2
나왔는지,2
끝나자,2
텔,2
교문,2
성냥갑,2
돌아갔어야,2
걷어차고,2
쏟아지던,2
혼곤,2
똑,2
써야,2
구차하다는,2
칠하지,2
합쳐,2
성실,2
가볼,2
지려,2
옥수수차,2
요란한,2
괜찮다는,2
오산,2
굳은살,2
생생한,2
유심,2
전화했던,2
교환,2
생략,2
라보,2
당하는,2
공통점,2
진실성,2
들었기,2
살아온,2
현지,2
그만둔,2
저렇듯,2
답례,2
신도,2
외진,2
들어설,2
애기풀,2
허전거리는,2
토방,2
몰아쳐,2
집념,2
편안해요,2
예리한,2
있나,2
가엾어,2
눈초리,2
흐려,2
시력,2
찡그렸다,2
마땅한,2
소의,2
삐,2
회전,2
위통,2
아버,2
갈증,2
옆면,2
양해,2
환대,2
호니까,2
머뭇거렸다,2
장지,2
그리던,2
받자마자,2
진홍색,2
살쾡이,2
기다렸다는,2
빛과,2
병색,2
필요한데요,2
텐데요,2
상관없소,2
이었으므로,2
탄의,2
무거웠다,2
갈취,2
가닥,2
나왔다고,2
들었어,2
웅크리,2
창고,2
해오고,2
꿈결,2
노려보았,2
일그러진,2
이어진,2
찾아낼,2
집기,2
진관,2
헛,2
웅,2
않으면서,2
비판,2
짚은,2
확실했니,2
않느냐고,2
멀게,2
돌아보았을,2
파고드는,2
올려다볼,2
없도록,2
부시,2
보여주지,2
형언,2
흘렀으니,2
밝았으면,2
좋겠다,2
내버렸다,2
간단한,2
믿,2
않은가,2
접었다,2
살았을,2
교정,2
마주치면,2
지선,2
데려,2
랑은,2
지나가면서,2
멈춘,2
엄지,2
칼집,2
전구,2
대개,2
무당,2
둥글게,2
논리,2
쓰던,2
지나고,2
기다리며,2
하는지,2
기와,2
빠르면,2
얻어맞은,2
불쏘시개,2
드리워,2
신입생,2
교내,2
나누어,2
늘어놓았다,2
기미,2
올라가자,2
증,2
깎아,2
양은,2
시킬,2
중턱,2
검토,2
뭐라구요,2
잡으며,2
제출,2
책가방,2
흘러내려와,2
샴푸,2
끔,2
정정,2
숫제,2
는데,2
우선,2
일본,2
언어,2
가만,2
법도,2
외벽,2
앉았,2
시동,2
해보시오,2
그거,2
다급한,2
뿌렸다,2
현기증,2
펄펄,2
번갯불,2
꼬마,2
명찰,2
비추어,2
입학,2
무료,2
없기,2
부르던,2
부르고,2
장물,2
좋소,2
내려왔을,2
중형,2
이따위,2
고른,2
받는,2
빤,2
있어야만,2
언니네,2
그랬어,2
국어,2
감싸안고,2
분담,2
잔인한,2
선팅,2
들어오며,2
예정,2
만큼은,2
떠들지,2
교사,2
찍으러,2
쓸어진,2
와요,2
찌푸려,2
만지작,2
후려치는,2
치켜,2
단단하게,2
가늘고,2
그랬듯,2
전갈,2
남기지,2
얼마만큼,2
붙잡아,2
가격,2
느끼기,2
붙잡은,2
살림,2
켤레,2
거주,2
생각난,2
흥분한,2
회식,2
응답기,2
재생,2
들으며,2
지나기,2
히라가나,2
급한,2
두었다가,2
끼었다,2
풀기,2
계십니까,2
짓은,2
침착하려,2
장난,2
펼쳐,2
그만하겠소,2
됐,2
않습니까,2
낙,2
창구,2
낭패,2
흩어진,2
양동이,2
허옇,2
포박,2
말뚝,2
훨훨,2
신었다,2
거두고,2
손사래,2
모를까,2
이십만원,2
읽으며,2
에다,2
문자,2
오수,2
시켜주는,2
들어갔,2
하수도,2
리퍼,2
살았으니까,2
서방,2
으음,2
장점,2
해가고,2
좁게,2
맞고,2
올라갔다,2
걸어갔을,2
언짢게,2
하필,2
차렸을,2
꾸지,2
어딥,2
지나도록,2
갑자,2
더운,2
되어야만,2
읽,2
싸가지,2
남대문,2
찾았던,2
옥색,2
둘둘,2
말려,2
다니고,2
호떡,2
만들지,2
가족사진,2
머물,2
걸어가다가,2
제복,2
익숙하지,2
깨물며,2
태반,2
맞으며,2
주전자,2
일그러졌다,2
가능한,2
동경,2
희생,2
끈질긴,2
권유,2
으르렁,2
붙잡았다,2
앉,2
체크,2
좁았다,2
많을,2
오그린,2
오히,2
낯빛,2
파이,2
생채기,2
급하게,2
버젓이,2
가다듬었다,2
끼었다가,2
푸는,2
태워요,2
찾아서,2
보랏빛,2
덜덜,2
평지,2
멎어,2
공터,2
분지,2
있으면서도,2
찍었으면,2
봐줄,2
어색하여,2
숙박,2
야외,2
원했다,2
산비탈,2
슬그머니,2
들려주었,2
기척,2
빛나고,2
가도록,2
입석,2
기다려야,2
했다가,2
침착하게,2
발각,2
산맥,2
.....,2
창호지,2
떠돌다가,2
쌓이고,2
쌓이,2
조구,2
냉소,2
빌붙어,2
아니었고,2
깥,2
구부러진,2
살다시피,2
있었다구,2
행동거지,2
둘러서,2
밭뙈기,2
뜯기,2
새살,2
검다,2
흐느,2
싫어서,2
잡목,2
날리며,2
꾸,2
삼켰던,2
내려오는,2
떨어지면,2
그리고는,2
헛된,2
갔는,2
뒤틀며,2
제하,2
잔돈,2
대합,2
환불,2
들이켰다,2
비린,2
추워,2
숙이고,2
자랑스러운,2
일별,2
대여섯,2
었을까,2
걷지,2
살아요,2
불려,2
느껴졌,2
차림새,2
뜨리,2
욕심,2
안긴,2
죄송해요,2
감색,2
츠,2
섞이어,2
로지,2
장담,2
할말은,2
하기로,2
갔는지,2
있어도,2
반짝,2
육감,2
어린아이의,2
옷가지,2
헹굼물,2
없었지만,2
술렁대고,2
살았는지,2
이파리,2
토끼,2
아보,2
오십천일,2
팔꿈치,2
지워져,2
할퀴어,2
담그고,2
박차고,2
격렬하게,2
비우,2
풍기,2
재난,2
진정제,2
맞아야,2
감치,2
들어가서,2
빽빽,2
잡아도,2
미안하게,2
됐소,2
사설,2
자책,2
학원,2
잡히지,2
양으로,2
패널,2
눌,2
원하지,2
돋아난,2
같았으면,2
일만,2
뿐이었으므로,2
않는다면,2
늘어서서,2
사리,2
교과서,2
문고판,2
목제,2
로운,2
오류동,2
결사,2
무너졌다,2
밟았다,2
펄럭거렸다,2
말이었다,2
줄이,2
사라져가는,2
들어오자마자,2
나았을,2
차내,2
괜히,2
기록부,2
살피더니,2
고르는,2
경의,2
허전허전,2
하얀,2
건네주었다,2
죽었다는,2
남짓한,2
더위,2
살내,2
힘없는,2
알았어요,2
앉더니,2
세수,2
바꾼,2
밀려왔다,2
만나고,2
휘청거리는,2
나았다,2
맥줏집,2
진실,2
위안,2
꽁꽁,2
불만,2
표시,2
들자,2
내려갔을,2
내왕,2
이동,2
궁금해,2
천천,2
어스름,2
파고,2
훗,2
싶지도,2
죽었다고,2
쟁이,2
험한,2
알다,2
아는가,2
뙤약볕,2
묶어,2
펼쳐놓은,2
여섯시,2
온다고,2
오십오분,2
미안하다,2
어요,2
나지막한,2
덧붙이며,2
집계,2
전문,2
호쾌,2
복합,2
신하,2
미지근하게,2
싸고,2
중독,2
산봉우리,2
사용,2
주판,2
밀어내며,2
야말로,2
국어사전,2
거미줄,2
난장판,2
늦게까지,2
다물려,2
들려요,2
흔들고,2
다니느라고,2
모르겠다,2
날아가지,2
얹어놓은,2
꺾,2
보였,2
쳐졌다,2
네깟,2
씌,2
몫,2
가려서,2
박았다,2
얼어붙어,2
달았,2
제야,2
잃었다는,2
눈높이,2
트레이닝복,2
꾸는,2
모닝콜,2
발라진,2
익숙한,2
파가,2
놋쇠,2
탈색,2
옹색,2
8월,2
걸어온,2
빠져나가면,2
좁아지는,2
커져,2
잰,2
내려다보였다,2
그을린,2
이르렀다,2
올라와,2
돌아보자,2
첫마디,2
이어가곤,2
다다를,2
내려오거든,2
붙잡았지요,2
들어서면서,2
야구,2
잠바,2
엎,2
얻지,2
흘러내렸다,2
냉정함을,2
헛일,2
좋겠니,2
끝내고,2
칼칼한,2
누르고,2
안주,2
나오는데,2
당했다는,2
일어났다,2
괜찮다고,2
적신,2
라니까,2
관계도,2
어렵지,2
능력,2
쉬운,2
적었다,2
찢긴,2
가봐,2
일어나면,2
받았을,2
울컥,2
만나러,2
누그,2
부르면,2
되잖아,2
나가서,2
머뭇거림은,2
음향,2
쉬어요,2
푸르,2
따뜻하지,2
싶었던,2
감기,2
원판,2
던지고는,2
알리는,2
빳빳,2
뜰수,2
가느다,2
규칙,2
울릴,2
뭉클한,2
잠옷,2
붉어진,2
구를,2
좁아,2
가보면,2
이었나,2
이튼,2
차갑고,2
타이틀,2
만지작거리고,2
멀어지는,2
인명,2
허탈한,2
누런,2
두께,2
본다면,2
움직임,2
구급,2
만지려,2
들렸을,2
씻지도,2
탈진,2
닦지,2
복사,2
루,2
국밥,2
어디가,2
비빔밥,2
했으리라,2
급경사,2
무사히,2
틀렸다,2
만질,2
총총히,2
세우며,2
꼬질꼬질,2
묵묵한,2
차비,2
쫓다,2
높아졌다,2
연구자,2
거칠고,2
벌떼,2
함성,2
옥탑,2
나아가기,2
다가올,2
돌아본,2
오금,2
는지,2
부딪힌,2
뜨려,2
망,2
죽든,2
앓든,2
되든,2
즉석,2
질금,2
되었으며,2
동문,2
해서도,2
배타,2
올라가,2
내려와,2
